(110.20176293899397, 0)
(139.26200502653631, 0.18503595796570582)
(142.50150579398786, 0.17072560094219183)
(146.78609375072222, 0.20123580938976054)
(128.98664994291119, 0.41403485246849064)
(131.71643880502572, 675.4975502182631)
(143.1535781019478, 0.16376259977347823)
(131.71641680700452, 75.55122580921467)
(148.40364092468758, 0.12032843351344093)
(122.19535935116191, 4.034701377704347)
(124.28163019373952, 5.160318831975369)
(142.73391343344875, 0.2088940565685035)
(143.5197699281709, 0.17025266037001402)
(141.40791356935785, 0.21258477052622343)
(140.3861729763261, 0.04223309871543562)
(118.99713022858403, 1.8774819003541123)
(124.73983079527432, 4.7565775523839395)
(125.44458515963265, 4.846132492121324)
(134.9389577843682, 0.03555425642716621)
(144.31088292352956, 0.1362836221334052)
(142.56334803683433, 0.11216709729954397)
(127.89309602670104, 6.885456171884038)
(139.37668100112663, 0.24262034224617163)
(140.1180979749925, 0.2572115173800414)
(129.45483820165893, 0.4029111779105762)
(147.99495536705984, 0.061837393385877654)
(146.2313035093929, 0.2162619786055847)
(133.2643361264943, 5.564699731399966)
(143.6431823405372, 0.24308274540868952)
(133.9755261149419, 5.6621402795703935)
(151.766177623288, 0.15962164397038836)
(127.91158036801524, 29.371200364189292)
(146.6732470574172, 0.015371882162118445)
(150.20254591796837, 0.03222492368175449)
(151.38501603904731, 0.17240778471976653)
(133.1525249786796, 4.988503033969756)
(147.29473529275714, 0.21876317543399507)
(148.87882387352533, 0.2288272797468283)
(145.7519070021292, 0.22900819661592273)
(146.04128058652765, 0.22174154684707859)
(146.76380955368344, 0.21830996894737095)
(146.62807737846182, 0.12135462919516571)
(145.46358471729977, 0.20717624124127662)
(148.28132877664106, 0.19029897644310614)
(134.97794711822237, 0.1751978475622072)
(142.70631391234286, 16.321452989756946)
(146.9653222030572, 0.2619385182232216)
(137.47982787508275, 5.044537495175276)
(149.5828507394071, 0.1904817326477774)
(148.9166837855426, 0.22124038347483949)
(149.844328217766, 0.006591530421284671)
(138.17130755320198, 9.00234217242563)
(130.539001033776, 125.72463871059146)
(147.61198157542742, 0.037515476733137744)
(145.06294046516751, 0.2406881780250513)
(145.7685040044109, 0.02308539826463382)
(144.04679801939602, 0.22126662941422273)
(133.4773643425931, 4.555455637686357)
(151.7146626594368, 0.002567647893181983)
(135.13387386220376, 14.173020695205002)
(141.57921384806014, 0.04200747471968166)
(138.4377363590399, 0.3233470445327158)
(137.77273318307894, 8.633971623452577)
(137.81529515445726, 0.123946715612782)
(146.02192298944297, 0.2355380717502159)
(149.72467844453064, 0.035073954436441554)
(141.66927528961168, 8.388604549315623)
(148.82819903969025, 0.1548038874988979)
